,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
73,VCT,Saint Vincent and the Grenadines,542,526,528,538,533,534,521,519,525,539,549,32.14213550452215,31.192786081914413,31.31125876483525,31.904262204088386,31.608197598200718,31.667509888531917,30.89575967356135,30.777362062173786,31.133692277354132,31.964326007438483,32.556451877383964
74,WSM,Samoa,3962,4025,4069,4089,4060,4019,3974,3941,3865,3900,3919,233.95106734105536,237.67013826784373,240.2677291022286,241.44820202327332,239.7360781672781,237.31433989653323,234.65705712285444,232.7085432897815,228.22299828286162,230.29402385886817,231.4155609267737
75,STP,Sao Tome and Principe,796,796,796,796,796,796,796,796,796,796,796,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184,48.38520660097184
76,SAU,Saudi Arabia,173472,199679,199675,192810,159732,126977,121290,122855,122250,121921,122754,9840.17917983158,11208.651151908314,11168.27619350405,10794.732103330232,8972.300171226758,7160.537481071653,6838.7557307024035,6927.704445380698,6895.40374782236,6878.668750707383,6928.759299772647
77,SEN,Senegal,2129856,2174671,2168771,2166990,2155810,2146014,2132402,2132344,2136371,2142555,2135160,126106.4416911484,128756.4210682602,128406.48909280178,128301.31920311807,127639.50647512596,127058.31735387984,126252.32448351046,126249.00298334232,126487.32729864621,126853.30842659087,126415.57541515444
78,SYC,Seychelles,6375,6391,6391,6395,6383,6371,6349,6352,6358,6374,6372,383.163352687792,384.1327269606997,384.1327269606997,384.37504828194,383.6480271018252,382.9210173992688,381.587912850844,381.76955460085065,382.1329641896578,383.1025404883715,382.9813662225716
79,SLE,Sierra Leone,2658453,2649586,2616433,2628246,2621230,2628035,2617410,2622817,2605395,2548821,2504619,160059.9549658824,159526.18365931787,157531.1167250129,158241.0291064639,157818.71786438322,158227.599182762,157588.4790926028,157913.38956120436,156865.2368526442,153461.0264084801,150799.6817385328
80,SGP,Singapore,13829,12718,12154,12322,12427,11985,11661,11483,11541,11483,11470,840.3673390590124,772.8531656755188,738.579224358966,748.788426829652,755.1696042483895,728.3107040625105,708.6218552261354,697.8050331293815,701.3297766110835,697.805412917075,697.0152676106727
81,SLB,Solomon Islands,876753,880445,881859,883496,879578,872185,868166,865250,870486,876206,874001,52730.52152207189,52952.95708059249,53038.0257323818,53136.296384609406,52900.297896740965,52455.4955291109,52213.743066885494,52038.221026362684,52353.13218841717,52697.462438432645,52565.00413953261
82,SOM,Somalia,60861,59200,58550,58580,58422,58146,58145,58108,58114,57692,57270,3679.3940636096136,3579.865373016759,3540.8470404564787,3542.7530350873926,3533.3309019770386,3516.816086138635,3516.6595954311797,3514.487011772924,3514.798643351381,3489.316299576697,3463.7083355949526
83,ZAF,South Africa,48411,49635,49151,49083,49347,50096,49682,49911,50149,50467,50036,2565.9775923610187,2631.3689764022547,2605.582963687934,2602.048506923066,2615.962134270923,2656.1906093756343,2634.3945160314584,2647.5078745666383,2660.7762400429388,2677.6298900424113,2654.3352084511466
84,LKA,Sri Lanka,430164,380082,330968,305434,298302,311622,327644,332922,329153,311727,301361,25861.24537318539,22852.235660394468,19902.213402737918,18367.230480876777,17938.399695490127,18738.102490067093,19701.905539784242,20019.30743967573,19792.532614519,18742.760344202252,18119.10582988985
85,SDN,Sudan,30879,21214,17758,16935,15581,13741,12840,13455,13385,12414,12148,1770.4729881874528,1216.7715809633,1019.1158209202047,972.3854957923129,895.4525982006619,790.1336330074841,738.5969549413539,774.1065533799065,769.9934081636911,714.1735111258569,698.9086104045675
